,sentence,sentiment,polarity
13166,"The Gymnast (2006) was written and directed by Ned Farr. Dreya Weber portrays Jane Hawkins, a former world-class gymnast who was seriously injured and now earns her living as a certified massage therapist.<br /><br />The promotional material leads you to believe that the plot hinges around Jane's accidental reunion with a former teammate. Although this meeting takes place, that plot line is secondary to the main plot, which involves Jane, her husband, and a professional dancer named Serena (Addie Yungmee). The two women develop an act of the type performed by Cirque de Soleil. The two complement each other--Jane is more experienced with heights and has tremendous upper body strength. Serena is more elegant and artistic, although, obviously, also capable of incredible physical feats.<br /><br />The film works because we can understand how Jane would turn to Addie, who is caring and compassionate, while Jane's husband has taken her for granted for the many years of their marriage.<br /><br />Both women are incredibly fit and athletic, and Dreya has the lean body and well-defined muscles that are characteristic of gymnasts. They clearly are truly performing their act, and the results are so excellent that we can believe they would indeed, be a success in Las Vegas, or anywhere else they traveled.<br /><br />The sexual tension between the women is obvious, and the situation becomes even more complex when the act requires them to kiss while suspended in the air. A woman with a neglectful husband and an attractive woman partner make for an explosive situation, which isn't resolved in a neat and tidy fashion.<br /><br />Of the six films we saw at the Rochester NY Lesbian and Gay Film and Video Festival, we thought this one was the best. It will work on DVD, and is definitely worth seeking out on large or small screen. NOTE: Stay for the credits!",10,1
415,"It might be a stretch saying this as a die-hard Carlin fan, but the material, both written and as performed, in It's Bad for Ya is some of the best late-era material yet. At 70 Carlin bounces back from the level of despair (and some of the stumbles in the act itself) from Life is Worth Losing to a special that is firmly structured but loose and playful- or as much as the ""old f***"" can get- and is continuously, ceaselessly, funny. And funny as in reminiscent of what some of us had going on when watching Back in Town or 'Diseased' the first time. The material, even if sounding at times a tinge of the previously done (i.e. the whole bit on children in school and camp like the Children segment in Diseased), is always fresh and with such a sting of truth to everything that it scalds the mind while (here goes) tickling the funny bone.<br /><br />Going from the topic of death (how long to wait to scratch off a name from the book? six weeks, unless if on the computer scheduler), the facets of communication, looking down from Heaven, spots of God (naturally), kids, and just troublesome gestures involving hats in religion and if people really have ""Rights"" make up the bulk of the special, centered around the premise that what's bad for you, plain and simple, is BS. Total, complete BS, which as we also learn (or if you've really learned it you're like the kid waiting at the street corner for a week following dropped off not-quite randomly by the parent) holds the country together. Carlin isn't necessarily angry though, even if disdain seems to spout out at most turns, even just to observe how horrifying children's teeth coming in look. It's skepticism tinged with the feeling that everything is NOT going to be ""fine"".<br /><br />What it comes down to is this: Carlin is to dirty, witty, cautionary stand-up comedy what Yoda is to Jedis everywhere, which is a small spark of hope via crystal clear wisdom in a world where it's pretty damn hard to get any. At the least, we get classic GC - outrageous lines and bits from the man's 13th (or is it 14th) comedy special, including as far as an eyebrow-raising observation on people who play Mozart music during a birth!",10,1
14449,"Like for most women this movie is the ultimate chick-flick. With it's hot chemistry, sexy dance rountines and beaitiful songs, i mean timeless classic like (I've Had) The Time of My Life & the wonderful She's Like The Wind makes this movie. I adore Patrick Swayze in this movie and he shows he can sing and dance it's so hot. He sings ""She's Like The Wind"" in the movie. The chemistry between Swayze and co-star Jennifer Grey is amazing. I love all the dancing and everything that goes with it. But saying this Dirty Dancing 2: - Havana Nights is also great but Patrick Swayze scenes makes this. I love the songs, dancing and everything about it but it isn't Dirty Dancing. Like I said it's an amazing chick flick. Please let there be a 3rd because I love to see what happens with Patrick's character Johnny. Jennifer character could have been more sexy but hey Patrick makes up for that if you know what I mean!!! Great movie and I'm so pleased Billy Zane didn't win the movie role. I heard whispers he was meant for the role but they found out he couldn't dance.",10,1
9839,"Watching this hilariously retro but very entertaining career girl tale, I was floored by Joan Crawford's first appearance. All I could think initially was, ""My God, it's the same face as Michael Jackson in his notorious booking photo!"" <br /><br />About 34 minutes into the movie, Diane Baker and Hope Lange get out of a cab in Greenwich Village. As they walk down the street, you can see part of a sign in back of them for the Stonewall Bar -- scene of the epochal ""riots"" that are considered the trigger for the modern gay rights movement.<br /><br />Speaking of Baker and taxis, I had to laugh when she gets into one and tells the cabbie, ""56th and Sutton Place, please -- and be careful of the bumps."" Can you imagine the reaction to that from a driver in today's Manhattan?! She says that, of course, because she's pregnant and doesn't want to hurt the fetus. But that doesn't stop her from JUMPING OUT OF A MOVING CAR when she finds out Bob Evans wants her to have an abortion! Well, they had to find a way for her to lose the baby (1959 and all).<br /><br />Sue Carson is delightful as Mary Agnes. Why was this her only movie? There is no biographical information on her in IMDb.",8,1
14283,"Riotously cheesy lunacy about lava spewing from the La Brea tar pits in Los Angeles. Even if you attempt to suspend disbelief by ignoring this ludicrous premise, you'll still be howling with laughter at the inane dialog, nonsensical plot contrivances, and wildly reckless scientific plot holes that parade across the screen.<br /><br />I have a theory: every successful actor is doomed to appear in at least one bad movie at some point in his/her career. This was Tommy Lee Jones's turn. Although he makes a decent effort, the script is just so pathetic even he goes down in flames (oops, sorry about that). Most of the supporting cast is also choked by the hackneyed writing; a few of the actors simply phone in their roles. Anne Heche deserves special Hall of Shame recognition for her awkward portrayal of a scientist. She is about as convincing in this role as Pee Wee Herman, and even he would have at least done a better acting job.<br /><br />Since the scientific plot holes are too numerous to list here, I would instead suggest that you screen the film with friends, and have a game of ""Find the scientific absurdities."" The loser could be forced to listen to tapes of corny lines from the movie like ""Everybody looks the same"" over and over. Here's a sample of the kind of nonsense you can expect: a scheme to blow up a building is devised, engineered, and the dynamite set and detonated all within a space of about 20 minutes. <br /><br />Let us not forget the obligatory disaster movie clichés: divorced dads, scientists who get ignored by everybody, obnoxious cops, tough street kids, bratty teenagers, greedy investors etc.; all are present and in abundance. The film also bashes you over the head with a relentless barrage of political correctness.<br /><br />For fans of cheese and silliness only. All other viewers: beware.",4,0
6289,Excellent story with supperb acting by all of the cast. The warmth and insight into who Joad represents moved off of the screen and into the heart of this viewer. The frustration's and tenacity of Mother Madalyn in her quest to do HIS work till her last breath was also done with excellance by Barbara Hershey. The intertwining of the personalities of Joad and Mother Madalyn grew throughout the story line with a breath taking crescendo in the final scene.,10,1
7182,"Considering the subject matter, I thought that this film would at least be enjoyable, if stopping somewhat short of a masterpiece. I was wrong. I was still waiting for something to happen and it finished - I thought that the finale was the bit that happened before it got exciting. The only reason I gave it 2 instead of 1 is because the effects guys deserve some recognition.",2,0
16168,"Wealthy businessman Bill Compton (played by Dennis Patrick) accidentally kills his daughter's hippie boyfriend after an argument. Panic-stricken, he retreats to a bar, and meets Joe Curran (played by Peter Boyle): a loud-mouth, angry, bigot who is bitter over how his beloved country has become. Unintentionally, Bill allows Joe to find out that he just killed a hippie. And this is only the beginning. ""Joe"" is a classic film of an unlikely friendship. A bond between two men, one of a white-collar background, the other of a blue-collar background. Bill & Joe have one thing in common, they are disgraced over how crazy the world has become. Dennis Patrick & Peter Boyle have both given very realistic portrayals of their characters. Director John G. Avidsen with this ""pre-Rocky"" effort, directs this low-budget gem with the same finesse as a movie with a $100 million budget. The script is loaded with excellent character development and very snappy, realistic dialog. In spite of its strengths this film does have its weaknesses. The script falls asleep roughly 3/4 of the way through, but it wakes up just in time for the jarring climax. This film also features a very early and uninspiring performance by a 24-year old Susan Sarandon as Bill's daughter Melissa, along with her hippie boyfriend Frank, portrayed very blandly by Patrick Mc Dermott. One could only be thankful that he was killed off early in the film. In spite of its few flaws this is one of those forgotten films of the 70's that should not be. Even though ""Joe"" is very dated to today's standards, the chemistry between Dennis Patrick & Peter Boyle is completely relevant today, and it is the glue that holds the whole film together.",8,1
22757,"Please...if anybody gets the chance to read this BEFORE watching the movie, if it can be called so, refrain from it... do not waste your time!!!! I too watched this film right after finishing the book, and was seriously disappointed... the main character is basically a new made up Fanny, for she shows NO resemblance whatso ever to the book...she's so lively and laughing all the time... if there was one thing the author wanted to set on this was that she was a very shy, introverted character.... please!!!!! All the most important parts of the story, which are supposed to convey to the heppy ending, are simply not taken into account...and the rest made up!!! I think one is better off using the time to either read a little bit of the actual novel or simply do nothing.",1,0
3704,"Asia Argento has never done a film (so far as I know, and this includes ones directed by her own father, Dario) where she fails to show all of her anatomy at some point. Sure enough, in the most boring opening dialogue scene ever, poor Madsen has her coming into his office and right there, reminding us that even though her hair is up, she can still stick her fingers in her crotch at any given second (which she does but in such a random ""what? am I really seeing that?"" kind of way). The DVD box, packaging, makes this look like a femme fatale film so you keep waiting to see her turn into a sleek and minimalist killer.. no such luck. She's verbose, hung up on some aging has been and even worse, has no credible skills in physical agility other than (surprise!) taking off ALL the clothes when any scene allows it. Her accented English would be cool if only she didn't try to make it sound so affected and try to talk like a 12 year old. How about this plot? Weak-minded but simultaneously nymphomaniacal woman is suddenly driven to kill while she already has another affair on the go and is running some cheap drug deal ... huh? what? does anyone have motivation in this movie to do anything other than buy a hamster? The screenplay seems to be oriented by letting everyone talk a lot about the same things over and over (I was expecting to see the worst acting on this appear as a producer who dumped money in it just to have some screen time) - there is nothing going on sub the obvious flaws of Asia's character that at any point in the movie delivers what the DVD cover promises. She's weak... but she knows how to kill. she flails A LOT. She flails naked, she flails half dressed, she even flails in a dead woman's clothing.. she is very floppy and unmotivated. In fact ""Floppy"" would have been a great name for this movie.. and a shot of Asia passed out looking angry on the cover would have been a better representation ... there are actually shots of her eating airplane food!!! What's that about? <br /><br />THe ending makes 0 sense - everyone is just annoyingly wishy washy in their intent and their execution of all objectives. The wife of Lester doesn't deliver any REAL vengeance (taking someone to bad karoeke IS life threatening but not really valid).. and Lester just floats around without really making much proclaimation of anything. Totally misleading key art... yeah, we know Asia lost the baby fat of her first born but really, a whole movie trying to pretend like that's interesting enough to drive a film about a passive-aggressive chick is not worth your while. See Point of No Return instead.",1,0
4049,"A good idea let down by heavy-handed production.<br /><br />Quite a bit of the dialogue was unintelligible because of the level of music/background sound, and this didn't help this reviewer. Nor did the Welsh accents, pretty impenetrable at times. Towards the end I lost the will to live trying to follow the dialogue.<br /><br />This movie didn't know whether to be a farce or a black comedy - and they require different approaches. Some of the incidents were laid on so thick that they only merited a groan, some were so unbelievable even for this sort of plot that they made the story just not worth following.<br /><br />The acting was in the main good - although the American just came over as a clone of the ""Back to the future"" mad scientist. The little boy was very good.<br /><br />I did watch it all the way through but God knows why: I can't remember laughing once.",2,0
11427,"_Saltmen_ is a long film for its genre, and quite often the pace is much slower than that expected by Western audiences. That being said, I enjoyed it thoroughly both in terms of interesting subject matter and the magnificent images this film contains. Some of the scenery is truly breathtaking, and there is enough of interest that most should be able survive _Saltmen_ with minimal use of the fast-forward.<br /><br />",8,1
10764,"I wish I was first exposed to this in a movie theater when it was first released, as some of the commentors had been. It really is a treasure. To be fair I have not seen any other version of Goodbye, Mr. Chips and neither do I want to. To me this stands as a perfect version. I first saw it on TCM years ago and never forgot it. I had the pleasure of watching it with my girlfriend yesterday, although I had recorded it from TCM days earlier. There were portions of the movie in which both of us were teary-eyed, it really is a moving movie.<br /><br />And shouldn't that be what movies are all about?<br /><br />The music is beautiful, the film was shot wonderfully. The acting is top notch. And the story is delicate and timeless.<br /><br />One of my favorite movies of all-time.",10,1
16917,"First off just to say i didn't get the edition I thought I would - I chose the Italian version over the R2, but what actually arrived was a UK release from 1998 - claiming to be a special edition - i never knew there WAS a UK DVD release - but the promised biogs were not actually on the disc - just a couple of duff trailers. Anyway - as to the film itself - just as I was recovering from ""Night TRain Murders"" my second genital mutilation thriller turns up in the same month - this time in (an Italian) UK nubile schoolgirls are being offed and Teacher Fabio Testi - (unhappily) married but nailing one of his students - becomes the main suspect. Joachim Fuchsberger is the detective on the case. Sorry to say I was less than entranced. It was watchable but more than equally miss able,and aside from the aforementioned gruesome nature of the crime, the ""surprise"" killing of Cristina Galbo which was actually ""spoilt"" by the DVD cover telling me about it - Grrrrrr!!!! and a surprise twist that cast the ""victims"" in a new light - i thought this was very routine. Itwont put me off the two ""sequels"" though. with Karin (Hannibal Brooks)Baal and Camille (I Spit on your grave"") Keaton.",4,0
15102,"I was a still photographer working in Europe the summer that Jim Salter shot the movie Three.<br /><br />I did some swell pictures for him, one of which I was told became the poster for the movie. I didn't see the film until years later. I thought it was bad. A pity, because the elements that went into it were compelling. Robie Porter's girlfriend was almast as beautiful as Rampling herself. Salter asked if I would stick around and be an extra cameraman so they wouldn't have to shoot everything twice. I said sure, but I had to return to NY, promising I'd be back. Alas, I never did get back. One of life's unsung melodies.<br /><br />I wish I could post the pictures I made somewhere.<br /><br />Rowland Scherman",3,0
12549,"what a great little film, lots of good roles from some random stars. Basically there are these pot growers that get caught up in a comical adventure. At points the film makes you believe everyone is going to end up dead! Which adds to the comedy. When the character of John Lithgow (3rd Rock) re-appears - its impossible not to imagine the trip, this may have caused, like a total paradox. The film is full of twists and turns that keep you guessing all the way to the end. Billy Bob Thornton Astronaut Farmer) is brilliant, in fact looking back, the character is fairly similar in the fact he holds the family of pot growers together. Everyone involved in this film should get a big thumbs up.<br /><br />As i say' the final scene is a dream; however a nightmare at the same time. I love it when Hank Azaria (carter) says at the end do you think we should do this every year? I felt my self wishing they would. <br /><br />I'm not going to say this film is good for everyone, but as a lover of stoner movies i give it 10/10. - My advice have a joint ready; kick back and enjoy!",10,1
6760,"I woke up and it was a beautiful day; the sun was shining, the birds were singing and i fancied getting a movie, something new, a horror movie perhaps? Like many other reviewers i came across what can only be described as a piece of poopy in a gold wrapper. The front cover is great, and the comment on the back is mesmerising - 'it will scare the crop out of you'...oh how i chuckle looking back at such naivety and ignorance.<br /><br />One of the many things scarier than this movie is the acting skills of these 'actors'. I think, no, i did actually cheer when they got slashed up by these 'scarecrows', who were wearing some classic fancy dress costumes. I used to drive quite quickly past cornfields as i found them to be pretty scary at night, but having seen this movie, i nearly wet myself (through laughing so much) just at the sight. <br /><br />I have seen scarier omelette's quite honestly, not mine though, i'm a dab-hand at cooking omelette's, and if anyone associates this movie with my omelette's, let's just say that i would create a situation in which they would be forced to watch this movie 3 times in a row.<br /><br />If anyone has any good corn (crop not pop) movies they can recommend, feel free to inform me. It's a great comedy if nothing else, OK it is nothing else. Enjoy, but a little advice - before pressing the play button on your DVD player, throw it out of the window.",2,0
4379,"Although this was a film of only less than forty minutes, it is one of best directed and acted stories I have ever seen. It accomplishes in less than 45 minutes what most films cannot in more than 90.<br /><br />It is the story of two brothers, one 18 and the other 10. They come from a poor farm family in Mississippi. Both are caught up in war and the conflict of duty verses love of family.<br /><br />It brought tears to my eyes especially because the entire film is so well acted and directed, plus it tells the story of so many wars where one serves and the other left behind.<br /><br />I can fully recommend this film as beyond superb !",10,1
4303,"Meryl Streep may be the greatest actor working today. Her chameleonic portrayals never fail to astonish; she seems actually to be the characters she brings to the screen. In ""One True Thing,"" she gives life to a deceptively straightforward, profoundly complex woman doing her best to play the hand life has dealt to her. Surviving with cancer is no easy task, and not just surviving but actually continuing to live one's life is even harder--and this is precisely what Kate Gulden (Streep) means to do. Renee Zellweger (""Jerry Maguire"") not only holds her own in this exalted company but shines as Streep's daughter, who learns to see in a new light her parents' lives as well as her own. Streep is a powerhouse and deservedly received an Oscar nomination for her work here; her ""I'm only going to say this once"" dialogue with Zellweger will leave you devastated. Zellweger, though, is the real revelation--her face conveys every emotion, every conflict as she begins to learn the many truths about her parents' strengths and weaknesses. Director Carl Franklin (""Devil in a Blue Dress"") handles the extremely difficult story material with sureness and delicacy.",10,1
18986,"This movie starts out a little slow but kicks into comedic gear quickly. Each of the three ""teenage girls"" offer their own believable, distinct, assertive and entertaining personalities. I particularly enjoyed the dialog and interaction between Keith and Lisa. If one looked beyond the superficial ""action"" that was taking place, Keith's character treated Lisa's ""deflowering"" with tenderness and consideration. The comic development that followed was also pulled in expertly in my opinion. David Boreanaz gives a wonderful performance as the adult male who clearly gets himself into more trouble than he can handle. Dialogue was sharp, quick and flowed nicely. The director and writer of this film clearly showed how none of the main characters got to claim the moral high ground after all the shenanigans they pulled. Although the movie appears light on the surface, it reflects all the gray areas of becoming an adult, human emotions and desire.",7,1
21334,"I just watched this movie on it's premier night out of curiosity and sheer nostalgia. I liked (not loved) ""Mork & Mindy"" as a kid, mostly for Robin William's zany energetic performance. This movie made me remember why. Was the original show great? Not really, but Robin certainly was. Which brings me to this movie.<br /><br />I was pleasantly surprised, expecting nothing more than a paint by numbers chronological retelling of the show (which in a way it was). But, of course, the real focus was on Robin. It was interesting to see Robin's journey from struggling street jester to national t.v star, and how such a drastic difference affected him and his long suffering wife. And my hat is off to star Chris Diamantopoulos as he portrayed Mr. Williams with integrity, sensitivity, and heart; not just a cute impression, although it was even dead-on. (On an unrelated note, I noticed that Robin's struggles were in some ways similar to Andy Kaufman, who was under-appreciated by network t.v. and held back creatively, but that's the ""Taxi"" behind the scenes biopic.)<br /><br />All in all, this was a very enjoyable flick, in which I felt I got to know a little more of the man behind the Orkan. The acting was solid by all- never melodramatic like I suspected- and the story moved along well. Performances that were particularly good were by those who played Garry Marshall and John Belushi (the scene in which Belushi heckles Robin was a hoot!). Not a great masterpiece by any means (I would have liked to have seen a tad more about Pam Dawber), but definitely watchable, especially for those Robin Williams and ""Mork & Mindy"" fans out there. Nanoo, nanoo!",8,1
18282,"Although it's been hailed as a comedy-drama I found ""Crooklyn"" to be mostly depressing. It's hard to imagine how Spike Lee could look back affectionately on so much chaos, petty cruelty, irresponsibility and mean-spiritedness.",4,0
23000,"I'm a big time horror fan, and I bought this movie from all the hype it was getting on the message boards. Well, let me tell you I don't know whom was giving it all the hype, but let me speak on a few things.<br /><br />First of all this film is ""not"" a LOT of things. It is NOT scary, NOT suspenseful, NOT overly gory, NOT overly sick (except for one season MAYBE) NOT beautifully scored.... AT ALL.<br /><br />The premise of the movie is that a couple flee to a small island in Greece because they have done a little naughtiness in London. We don't even know what they did, but it is presumed that they killed someone. <br /><br />**spoiler alert**<br /><br />The male lead kills a few people out of his perversion of ""cleansing the island of perverts"" oddly enough. The killings are cheap, the characters are cheaper and the effects suck.<br /><br />There is one part when he rapes a goat because his wife wont give him any in the morning, but even that is done without any care for how it is shot. <br /><br />end of spoilers<br /><br />The end of the movie is about the only thing that isn't totally predictable. I especially enjoyed when the ""herder"" farts on the husband. Anyway, if you can rent this and have 2 hours to waste go ahead. It's nothing better than a processed cheese sandwich on moldy bread.<br /><br />3/10",3,0
17453,"It is the early morning of our discontent, and some friends of mine and I have just gotten through watching ""The Wind."" Truly a disaster film. Not in the sense of forces of nature wreaking havoc on an unsuspecting populace, but rather an awful movie wreaking havoc on an unsuspecting audience. To give you an indication of how frustrating it was to watch this particular bomb, I'll give you an example quoted during my first pained viewing. If given the choice of watching this movie for a second time and, say, boiling myself, I'm afraid to say the choice would not be an immediate one. But rather than simply ranting ""ad peliculam"" with lousy one-liners, I'm going to get specific as to why exactly my friends and I panned this particular film.<br /><br />To start this off, I like low-budget horror flicks. I even like artsy, low-budget horror flicks. I liked ""Cold Hearts"", ""Midnight Mass,"" ""Jugular Wine,"" etc. Films that were ambitious and daring, even if they were lacking in production value, execution and even acting. Generally, an interesting premise, unusual camera technique or merely just a well done scene or two will save a movie that is running a little rough around the edges. With these provisos in mind, I would like to say conclusively that I hated ""The Wind.""<br /><br />The movie was probably most disappointing in the sense that it was incredibly frustrating to watch. From the actions of the main characters, to the flow (?) of the plot, to the big portents hinted at by the opening which ultimately aspired to dust (and did not even attach themselves logically to what transpired in the remainder of the film, and left the viewer, expecting something more, with a sense of much ado about nothing). The dialogue was spotty at best, woodenly delivered and completely unrealistic. By this I mean, no one in any of the situations that the characters were in would have reacted the way the characters did, or said the things that they said in the way that they said them. There was an obvious lack of vision and direction that would have corrected this problem. <br /><br />Character interaction and development was abysmal. Claire, the ""lambent sex goddess,"" or so the aggravating, passive-aggressive lamesters in the movie thought, was so overt in her manipulations she may as well have pulled a gun on the characters. Nevertheless, she was the shining high point of the film. The other main characters (with the exception of Mick's Milfy Mom, who was not terrible) are so indistinct that they may as well have been portrayed by the same actor. Let's see if I missed anything: borderline personality, co-submissive goons with profound feelings of sexual confusion and inadequacy, spurred to fits of puerile rage through the artless orchestrations of a loose-lipped bimbette-suddenly-and-unmasterfully-turned-Caligari. No, I think that about covers it.<br /><br />Lack of scope was also problematic. How did those involved with the making of this film expect the casual viewer to derive that this was the beginning of the end of the world from this amateurish, unbelievable, poorly-portrayed lust pentagon (well, what would you call it?) that occurred largely in the woods in the middle of nowhere? There were no witnesses to the ""atrocities"" presented. There were no witnesses anywhere in this film.<br /><br />The believability problems stemming from this lack of attention to detail were rife even from the point where the plot begins to sicken. Case-in-point: If that guy Bob took that route through the woods to come home from the gym, and here's the key, ****every day****, there's a jolly good chance that someone else would have been around to see something at some point afterwards while the perpetrators argued vociferously about the crime scene. One would think that with the murder of a young man in the woods, said town would have been in an uproar, the characters would have been questioned, etc. But instead, there wasn't a witness in sight (other than Earl, the closet psychopath with no inner monologue). We suggest that there be no witnesses *for* this film, either. <br /><br />As for the quasi-homosexual meanderings present, I don't have a problem with those either. It's not as if they came as a surprise, considering we had been shouting as to the closet case stati of most of the male characters since the second scene. Again, not problematic in and of itself, but thrown in for the wrong reasons. It was utterly unnecessary, thrown in for pure ""shock"" and/or ""dangerous art"" value, and neither shocking nor dangerously artistic from any perspective. What we had instead was an awkward attempt to redeem a boring, clumsy movie with a boring, clumsy plot. The poorly hinted-at sexual tension, which was only hinted at heavy-handedly in anticipation of this flaccid snogging scene, only pushed this film further down the totem pole from ""mediocrity warranting criticism"" to ""film sucking so bad that it lacks the inherent grace to suck enough to properly mock and harangue.""<br /><br />So it is with most of the film, a lot of artistic fumbling, very little meat and a lot of aggravation. It's not that we don't get it. Oh, we got it, alright. We just don't want it. Look, the very fact that we were cheering the bludgeoning in the final scene as the *only* tableau that made sense on its face is an indication that something was terribly wrong with this film. Rather than moving briskly along as its name implies, this movie oozed languidly forward like the sweat trail working it's way down the side of your nose while your hands are full. Argh. That sensation pretty well sums up the gut-wrenching frustration realized while watching this train wreck. There is no breath of fresh air with regard to this movie, only the stale miasma of bad ideas poorly realized, putrefying before coming to fruition.",1,0
1661,"As long as you can get past your puritanical instincts and realize that pornographers are people too, you'll realize the depth p.t. anderson gives to his characters. Also, an incredible soundtrack. The songs are so tightly tied to their scenes, you won't be able to hear them without thinking about the movie again.<br /><br />Philip Seymour Hoffman is worth the price of admission alone.",10,1
3484,"Great music, great dancing, a sexy star (Swayze) and actual sexual desire shown by a female character (a very unusual event!). You rarely see female characters who are motivated primarily by lust and it is a nice change. I also think the movie captures very well what it is like to be a teenager coping with issues of class and of having ideals suddenly come up against reality. Of course, it is sappy at moments - it is, after all, a movie musical - but all in all it is a real pleasure - a fun romance and also politically enlightened. This movie also has one of my favorite all time movie lines: ""I carried the watermelon.""",8,1
20315,"This was bad enough. I really hope that there is no sequel. Maybe that is giving away part of the plot to let you know that it is open to the possibility, but no, it really isn't.<br /><br />There is really not at all special about this movie. Well, the special effect were fairly good, but nothing to write home about.<br /><br />There were some hot babes in her, especially Elina Madison and Alexandra Ford, but nothing to see folks. PG-13, definitely not an R. That also tells you the slasher aspects were less than spectacular. The shovel to the head was the only thing that was unusual.<br /><br />Tame scare fare.",3,0
2574,"Done in a mock-documentary style, late 60's subversives and supposed detractors of the mainstream government are arrested and given a choice. Upon sentencing for their wrong doings,there is a choice of going to prison for 7 years to life or spending three days and two nights in a southern California desert at Punishment Park. In the 100 degree heat, the prisoners are to trek fifty some odd miles to an American flag for their freedom. US and state law enforcers will follow two hours latter. If the dissidents are captured it means prison.<br /><br />Appearing in this pseudo-documentary: Carmen Argenziano, Katherine Quittner, Mary Ellen Kleinhall, Stan Armsted, Scott Turner, Patrick Boland and Kent Foreman.",4,0
13347,"This new movie by Jeskid is awesome! Check it out and you'll be amazed. The story of Emily Waters, once a girl from a broken home, whose only means of escape from an abusive father was through her sketchbook. Until one night her drawings manifested into reality and saved her, and now using this power she fights against those who would do evil. Both live action film and hand drawn animation blend together to create a unique and original experience that will shake your soul and blow you away. The music is incredible as well, it really intesifies the emotional experience and draws you deep into the conflict. Directed by Jesse Cowell and animated by Erica Langworthy, starring the beautiful Marissa Parness, with music by Nico Audy-Rowland, Daniel Collins, Jeff Strathearn, Matt Sisco, and Selcuk Bor. Support this film and support Jeskid, he is a very talented guy. Go see his film Shades of Grey as well.",9,1
6917,"It's not a movie, but an experience!<br /><br />Not the usual eye candy I thought it would be. Too many things are happening at once, your senses almost couldn't handle it. A product of cutting-edge technology (we were torn between just sitting back to enjoy the show and putting our 3D glasses on and off to decipher the magic), the music is great (it's a concert!), the Disney characters are in it (and you get to BE part of their world), it's funny, it's magical, it's exciting--I know this is beginning to sound like an advertisement--but it really is that awesome! Beats Christmas in bringing out the kid in you!<br /><br />This attraction alone already makes going to Disney all worth it. ;)",10,1
1498,"This isn't a bad TV movie. Shtrafbat is short for Shtrafnoy Batallion, which means Penal Batallion. Such battallions were formed due to the increasing demand for soldiers as the Soviet Union was taking heavy casualties all through out the war. These battalions consisted of convicts and dishonored soldiers who were given the chance to clear their names by proving themselves in combat. They were looked down upon as scum and were expended easily during combat without much regret, or much honor, on the part of military. They were often sent on suicide missions and suffered extreme casualties. The ones who refused to fight were executed on sight. Needless to say, their lives sucked.<br /><br />There were some very nice performances by the cast, especially by Yuri Stepanov who played Antip, Aleksandr Bashirov who played Stirah, and Roman Madyanov who played Major Kharchenko. However the series isn't really that addictive, in part because it's too long, it could've a lot shorter and as effective.<br /><br />Although it's about war, Shtrafbat has very mild violence and pretty much no gore. It relies solely on the actors to make it work, and after all, it's a TV series, so the producers didn't want to scare off the viewers and the sponsors.<br /><br />Shtrafbat explores the cruelty of the Soviet regime, and explaines why so many men chose to fight the Nazis instead of joining them. Personally I'd rather be a Fascist then a Communist given the circumstances presented in the film. One character explains that the Soviets stripped his farm clean and his family died of starvation. Out of anger he burned it down which got him arrested for destroying Kolhoz property and he ended up in the penal battalion as a criminal. Antip reminisced on how his mother killed her youngest son to feed the rest of the family. Both men explained that they fought for their motherland, rather than the for the Soviets.<br /><br />The penal battalion had one Marine(Naval Infantry) who raped a girl, killing his comrade in the prosess, threatened his other comrade to keep his mouth shut about both ordeals, and then feigned injury when it came to fighting. On top of all that the girl committed suicide due to shame. I imagine if enough Marines watched this movie they'd pick up banners and riot on the streets calling for a boycott or an official apology from the producers.<br /><br />To say the least, I'd recommend it to anyone with the slightest interest in the former Soviet Union or World War II. I don't think I wasted 500+ minutes of my life.",7,1
4243,"This is the best 3-D experience Disney has at their themeparks. This is certainly better than their original 1960's acid-trip film that was in it's place, is leagues better than ""Honey I Shrunk The Audience"" (and far more fun), barely squeaks by the MuppetVision 3-D movie at Disney-MGM and can even beat the original 3-D ""Movie Experience"" Captain EO. This film relives some of Disney's greatest musical hits from Aladdin, The Little Mermaid, and others, and brought a smile to my face throughout the entire show. This is a totally kid-friendly movie too, unlike ""Honey..."" and has more effects than the spectacular ""MuppetVision""",10,1
8320,"it's the best film that takes the first place at the sickest and an useful films ever made in this poor country. really u people even don't know what the word cinema means and u cast votes for movies, i'm really curious to know how many movies of P.P.P. or L.Bunuel have u seen. The score of this ""faield experiment"" it reflects a lot of u're way of understanding things and to recognize a good/quality movie when u see it. We the Romanian people have only ONE movie and until this day the status hasn't change & that movie is ""Padurea Spanzuratilor"". But I don't lose my time thinking how many of you have seen it. That is a movie that respects all the required quality's's of an MOVIE. From the script to the frames and even to the quality/clarity of the picture even are past over him 41 years. I recommend to the voters to search for better movies and then vote. KuDos will See u later .",1,0
